title,URL,total_time,description,ingredients,instructions,calories,serves
Easy Mochi,https://www.allrecipes.com/recipe/193307/easy-mochi/,95,"Mochi are small Japanese cakes made with glutinous rice flour that have a soft, chewy outer layer and a deliciously sticky filling made of sweetened red bean paste.","['1 cup sweetened red bean paste', '1 cup glutinous rice flour', '1 teaspoon green tea powder (matcha)', '1 cup water', '0.25 cup white sugar', '0.5 cup cornstarch, for rolling out the dough']","['Gather all ingredients.', 'Wrap red bean paste in aluminum foil and place in the freezer until solid, at least 1 hour.', 'Mix glutinous rice flour and green tea powder thoroughly in a microwave-safe bowl.', 'Stir in water, then sugar; mix until smooth.', 'Cover the bowl with plastic wrap and microwave for 3 minutes 30 seconds.', 'Meanwhile, remove red bean paste from the freezer and divide into 8 equal balls. Set aside.', 'Remove rice flour mixture from the microwave. Stir and heat, covered, for another 15 to 30 seconds.', 'Dust a work surface with cornstarch. Roll about 2 tablespoons of hot rice flour mixture into a ball. Flatten the ball and place one ball of frozen red bean paste in the center. Pinch and press the dough around the bean paste until completely covered.', 'Sprinkle with additional cornstarch and place mochi, seam-side down, in a paper muffin liner to prevent sticking.', 'Repeat Step 6 to make remaining mochi.', 'Enjoy!']",183 kcal,8 servings
Eel Sauce,https://www.allrecipes.com/recipe/201093/eel-sauce/,15,"Japanese eel sauce is a sweet-salty classic that's traditionally served on eel or eel rolls, but also great on grilled fish, chicken, and noodles.","['0.5 cup soy sauce', '0.5 cup white sugar', '0.5 cup mirin (Japanese sweet wine)']","['Heat soy sauce, sugar, and mirin in a small saucepan over medium heat. Cook and stir until liquid is reduced to about 3/4 cup.']",121 kcal,6 servings
Gyoza Sauce,https://www.allrecipes.com/recipe/162361/gyoza-sauce/,20,"This gyoza sauce recipe uses basic pantry ingredients to make a simple, slightly spicy Japanese dipping sauce for dumplings or fried spring rolls.","['0.5 cup rice vinegar', '0.5 cup low-sodium soy sauce', '0.35 cup thinly sliced green onions', '1 garlic clove, minced', '1 teaspoon sesame oil', '0.5 teaspoon crushed red pepper flakes', '0.5 teaspoon minced fresh ginger root']","['Whisk together rice vinegar, soy sauce, green onions, garlic, sesame oil, red pepper flakes, and ginger in a bowl. Let sit for 15 minutes before serving.', 'Store covered in the refrigerator for up to 1 week.']",8 kcal,16 servings
Homemade Pickled Ginger (Gari),https://www.allrecipes.com/recipe/100008/homemade-pickled-ginger-gari/,45,"Pickled ginger, or gari, is served as a palate cleanser alongside sushi or sashimi to help enhance the flavors. Learn how easy it is to make your own.","['8 ounces fresh young ginger root (peeled)', '1.5 teaspoons sea salt', '1 cup rice vinegar', '0.35 cup white sugar']","['Cut ginger into chunks. Place in a bowl, sprinkle with sea salt, and stir to coat. Let stand for about 30 minutes, then transfer to a clean lidded jar.', 'Stir together rice vinegar and sugar in a saucepan until sugar has dissolved. Bring to a boil, then pour the boiling liquid over ginger root pieces in the jar.', ""Allow the mixture to cool, then seal the jar. After a few minutes, the liquid may change to a slightly pinkish color; don't be alarmed. Store in the refrigerator for at least 1 week."", 'Cut pieces of ginger into paper-thin slices for serving.']",14 kcal,32 servings
Famous Japanese Restaurant-Style Salad Dressing,https://www.allrecipes.com/recipe/15177/famous-japanese-restaurant-style-salad-dressing/,10,"This Japanese salad dressing has lots of great taste sensations — garlic, ginger, minced celery, ketchup, soy sauce, lemon juice, vinegar, and oil.","['0.5 cup minced onion', '0.5 cup peanut oil', '0.35 cup rice wine vinegar', '2 tablespoons water', '2 tablespoons minced fresh ginger root', '2 tablespoons minced celery', '2 tablespoons ketchup', '4 teaspoons soy sauce', '2 teaspoons white sugar', '2 teaspoons lemon juice', '0.5 teaspoon minced garlic', '0.5 teaspoon salt', '0.25 teaspoon ground black pepper']","['Combine minced onion, peanut oil, rice vinegar, water, ginger, celery, ketchup, soy sauce, sugar, lemon juice, garlic, salt, and pepper in a blender. Blend until all ingredients are well-pureed, about 30 seconds.']",82 kcal,14 servings
Sesame-Seared Tuna,https://www.allrecipes.com/recipe/71698/sesame-seared-tuna/,11,"This sesame-seared tuna is made in less than 15 minutes. It's an easy recipe for seared tuna with a sesame seed crust, served with a honey soy sauce.","['0.25 cup soy sauce', '2 tablespoons sesame oil', '1 tablespoon mirin (Japanese sweet wine)', '1 tablespoon honey', '1 tablespoon rice wine vinegar', '0.5 cup sesame seeds', '4 (6 ounce tuna steaks', '1 tablespoon olive oil', 'wasabi paste']","['Stir together soy sauce, sesame oil, mirin, and honey in a small bowl. Pour half into a separate small bowl, stir in rice wine vinegar, and set it aside as a dipping sauce.', 'Spread sesame seeds out on a plate. Coat tuna steaks with remaining soy sauce mixture, then press into sesame seeds to coat.', 'Heat olive oil in a cast iron skillet over high heat until very hot. Place steaks in the pan; sear for about 30 seconds on each side. Serve with dipping sauce and wasabi paste.']",422 kcal,4 servings
Japanese Tamago Egg,https://www.allrecipes.com/recipe/221923/japanese-tamago-egg/,25,"Tamago is a light, slightly sweet and savory Japanese rolled omelet also known as tamagoyaki — it will make a great addition to your sushi platter!","['4 eggs', '0.25 cup prepared dashi stock', '1 tablespoon white sugar', '1 teaspoon mirin (Japanese sweet wine)', '0.5 teaspoon soy sauce', '0.5 teaspoon vegetable oil, or more as needed']","['Beat eggs thoroughly in a bowl; whisk in dashi stock, sugar, mirin, and soy sauce until sugar has dissolved.', 'Lightly grease a nonstick skillet and heat over medium heat.', 'Pour a thin layer of egg mixture into the hot pan and swirl to coat the pan. Cook until egg layer is firm on the bottom but still slightly liquid on top, about 1 minute. Then lift up one edge using a spatula and roll up the egg layer. Push omelet roll to one side of the skillet. Oil the skillet again and pour in another thin layer of egg, lifting the first omelet roll up slightly to allow the egg to flow underneath; roll up the first omelet in the new layer of egg and push omelet to the edge of the skillet as before. Repeat the process with the remaining egg mixture, oiling the pan each time if needed.', 'Remove rolled omelet to a serving platter and cut into 6 equal pieces to serve.']",63 kcal,6 servings
Japanese-Style Deep-Fried Shrimp,https://www.allrecipes.com/recipe/127500/japanese-style-deep-fried-shrimp/,25,"This deep-fried shrimp recipe seasons shrimp with garlic and paprika, then coats them with panko crumbs to make the crispiest deep-fried shrimp ever!","['1 pound medium shrimp with tails left on (peeled and deveined)', '0.5 teaspoon salt', '0.5 teaspoon ground black pepper', '0.5 teaspoon garlic powder', '1 cup all-purpose flour', '1 teaspoon paprika', '2 large eggs, beaten', '1 cup panko crumbs', '1 quart vegetable oil for frying']","['Place shrimp in a bowl and season with salt, pepper, and garlic powder. Mix flour and paprika together in a shallow bowl. Place eggs in a second bowl and panko in a third bowl.', 'Heat oil in a deep fryer or deep skillet to 375 degrees F (190 degrees C).', 'Dip each shrimp into flour mixture, then into egg, and finally into panko crumbs to coat.', 'Fry a few shrimp at a time in the hot oil until golden brown, about 5 minutes. Remove with a slotted spoon and drain on paper towels before serving.']",630 kcal,4 servings
Air Fryer Chicken Katsu with Homemade Katsu Sauce,https://www.allrecipes.com/recipe/278708/air-fryer-chicken-katsu-with-homemade-katsu-sauce/,40,"Air fryer chicken katsu with homemade sauce is a quick and easy dish — perfectly crispy on the outside, tender and juicy on the inside, and delicious.","['0.5 cup ketchup', '2 tablespoons soy sauce', '1 tablespoon brown sugar', '1 tablespoon sherry', '2 teaspoons Worcestershire sauce', '1 teaspoon minced garlic', '1 pound boneless skinless chicken breast (sliced) in half horizontally', '1 pinch salt and ground black pepper to taste', '2 large eggs, beaten', '1.5 cups panko bread crumbs', 'cooking spray']","['Prepare sauce: Whisk ketchup, soy sauce, brown sugar, sherry, Worcestershire sauce, and garlic together in a bowl until sugar has dissolved. Set katsu sauce aside.', 'Preheat an air fryer to 350 degrees F (175 degrees C).', 'Meanwhile, lay chicken pieces on a clean work surface. Season with salt and pepper.', 'Place beaten eggs in a flat dish or shallow bowl. Pour bread crumbs into a second flat dish. Dredge chicken pieces in egg and then in bread crumbs. Repeat by dredging chicken in egg and then bread crumbs again, pressing down so the bread crumbs stick to the chicken.', 'Place chicken pieces in the basket of the preheated air fryer. Spray the tops with nonstick cooking spray.', 'Air fry for 10 minutes. Flip chicken pieces over using a spatula and spray the tops with nonstick cooking spray. Cook for 8 minutes more. Transfer chicken to a cutting board and slice. Serve with katsu sauce.']",318 kcal,4 servings
Miso and Soy Chilean Sea Bass,https://www.allrecipes.com/recipe/190094/miso-and-soy-chilean-sea-bass/,200,"This Chilean sea bass recipe made with fillets marinated in sake, mirin, miso paste, sugar, and soy sauce is broiled until melt-in-your-mouth delicious.","['0.35 cup sake', '0.35 cup mirin (Japanese sweet rice wine)', '0.35 cup miso paste', '0.25 cup packed brown sugar', '3 tablespoons soy sauce', '4 (4 ounce fillets fresh sea bass, about 1 inch thick', '2 tablespoons chopped green onion']","['Whisk together sake, mirin, miso paste, brown sugar, and soy sauce in a bowl. Place sea bass fillets in a large resealable plastic bag; pour marinade over fillets. Chill in the refrigerator for 3 to 6 hours.', ""Preheat the oven's broiler and set the oven rack about 6 inches from the heat source. Prop the oven door to remain slightly ajar."", 'Arrange fillets on a baking sheet; discard marinade.', 'Broil sea bass in the preheated oven until fish flakes easily with a fork, 7 to 9 minutes.', 'Sprinkle with chopped green onions to serve.']",287 kcal,4 servings
The Perfect Simplified Sushi Vinegar,https://www.allrecipes.com/recipe/218877/the-perfect-simplified-sushi-vinegar/,15,Make sushi vinegar with this quick and simple 4-ingredient recipe that is the perfect tangy seasoning for hot cooked rice when making homemade sushi.,"['2 cups rice vinegar (such as Marukan®)', '1.5 cups white sugar', '1.5 tablespoons salt', '0.125 lemon, juiced']","['Stir together rice vinegar, sugar, salt, and lemon juice in a saucepan over low heat until sugar and salt dissolve; do not boil.', 'Remove from heat and allow to cool completely. Store in the refrigerator.']",97 kcal,12 servings
Oyakodon (Japanese Chicken and Egg Rice Bowl),https://www.allrecipes.com/recipe/128589/oyakodon-japanese-chicken-and-egg-rice-bowl/,40,"Japanese comfort food, Oyakodon is chicken simmered in a sweet and savory dashi stock, finished with egg, and served over cooked rice in a bowl.","['1 tablespoon olive oil', '4 skinless, boneless chicken thighs, cut into small pieces', '1 onion, cut in half and sliced', '2 cups dashi stock, made with dashi powder', '0.25 cup soy sauce', '3 tablespoons mirin (Japanese rice wine)', '3 tablespoons brown sugar', '4 large eggs', '4 cups hot cooked white rice']","['Heat oil in a large skillet over medium heat. Add chicken and cook until beginning to brown, about 5 minutes. Add onion; cook and stir until onion is translucent, about 5 minutes.', 'Pour in stock, then whisk in soy sauce, mirin, and brown sugar; stir until sugar dissolves. Bring to a boil, then lower heat and simmer until slightly reduced, about 10 minutes.', 'Whisk eggs in a bowl until well-beaten, then pour into the hot stock mixture. Cover the skillet, reduce the heat, and steam until egg is cooked, about 5 minutes. Remove from the heat.', 'Divide rice among 4 deep soup bowls and top with equal amounts of the soup mixture.']",688 kcal,4 servings
California Roll,https://www.allrecipes.com/recipe/228953/california-roll/,110,"A California roll is a fresh take on traditional Japanese rice rolls. Filled with avocado, crab, and cucumber, these make a fun, filling meal.","['4 cups water', '2 cups uncooked white rice', '0.5 cup seasoned rice vinegar', '1 teaspoon white sugar', '1 teaspoon salt', '0.25 pound cooked crab meat (drained) of excess liquid and shredded', '1 tablespoon mayonnaise', '5 sheets nori (dry seaweed)', '1 avocado (sliced)', '0.25 cup red caviar, such as tobiko', '1 English cucumber, seeded and sliced into strips', '2 tablespoons drained pickled ginger, for garnish', '2 tablespoons soy sauce', '1 tablespoon wasabi paste']","['Gather all ingredients.', 'Wrap a sushi rolling mat completely in plastic wrap and set aside.', 'Bring water and rice to a boil in a saucepan over high heat. Reduce heat to medium-low, cover, and simmer until rice is tender and liquid has been absorbed, 20 to 25 minutes. Transfer rice to a bowl and cut in vinegar using a rice paddle or wooden spoon. Season with sugar and salt. Allow to cool to room temperature, about 30 minutes.', 'Combine crab meat with mayonnaise in a small bowl.', 'Place nori sheet on a flat work surface. Spread a thin layer of rice on top of nori.', 'Place nori, rice side down, on the prepared rolling mat. Place 2 to 3 avocado slices on top of the nori in one layer.', 'Top with 2 to 3 tablespoons of the crab mixture.', 'Spoon 1 to 2 teaspoons tobiko lengthwise on one side of the avocado-crab mixture, and 2 cucumber strips on the other side.', 'Using the mat as a guide, carefully roll the California roll into a tight log. Remove the rolling mat. Top roll with more tobiko, cover with plastic wrap, and gently press the tobiko into the top of the roll.', 'Remove the plastic and cut into 6 even pieces using a wet knife. Repeat with remaining sheets of nori and filling. Serve garnished with pickled ginger, soy sauce, and wasabi paste.']",445 kcal,5 servings
Homemade Sushi,https://www.allrecipes.com/recipe/24228/sushi-roll/,65,"Make sushi rolls at home with this easy sushi recipe with crabmeat, avocado, cucumber, and pickled ginger, or customize with your favorite fillings.","['1.333 cups water', '0.66666668653488 cup uncooked short-grain white rice', '3 tablespoons rice vinegar', '3 tablespoons white sugar', '1.5 teaspoons salt', '4 sheets nori seaweed sheets', '0.5 pound imitation crabmeat, flaked', '1 avocado - peeled, pitted, and sliced', '0.5 cucumber (peeled), cut into small strips', '2 tablespoons pickled ginger']","['Preheat the oven to 300 degrees F (150 degrees C).', 'Bring water to a boil in a medium pot; stir in rice. Reduce heat to medium-low, cover, and simmer until rice is tender and water has been absorbed, 20 to 25 minutes.', 'Mix rice vinegar, sugar, and salt in a small bowl. Gently stir into cooked rice in the pot and set aside.', 'Lay nori sheets on a baking sheet.', 'Heat nori in the preheated oven until warm, 1 to 2 minutes.', 'Center 1 nori sheet on a bamboo sushi mat. Use wet hands to spread a thin layer of rice on top. Arrange 1/4 of the crabmeat, avocado, cucumber, and pickled ginger over rice in a line down the center. Lift one end of the mat and roll it tightly over filling to make a complete roll. Repeat with remaining ingredients.', 'Use a wet, sharp knife to cut each roll into 4 to 6 slices.']",152 kcal,8 servings
Onigiri (Japanese Rice Balls),https://www.allrecipes.com/recipe/140422/onigiri-japanese-rice-balls/,60,This onigiri recipe is fun to make for Japanese bento boxes! You can put almost anything in these rice balls; try salmon or tuna with mayonnaise.,"['4 cups uncooked short-grain white rice', '5.5 cups water (divided)', '0.25 teaspoon salt', '0.25 cup bonito shavings (dry fish flakes)', '2 sheets nori (dry seaweed), cut into 1/2-inch strips', '2 tablespoons sesame seeds']","['Wash rice in a mesh strainer until water runs clear. Combine washed rice and 4 1/2 cups water in a saucepan. Bring to a boil over high heat, stirring occasionally. Reduce heat to low; cover, and simmer rice until water is absorbed, 15 to 20 minutes. Let rice rest for 15 minutes to continue to steam and become tender. Allow cooked rice to cool.', 'Combine remaining 1 cup water with salt in a small bowl; use to dampen hands before handling rice. Divide cooked rice into 8 equal portions. Use one portion of rice for each onigiri.', 'Divide one portion of rice in two. Create a dimple in rice and fill with a heaping teaspoon of bonito flakes. Cover with remaining portion of rice and press lightly to enclose filling inside rice ball. Gently press rice to shape into a triangle; wrap with a strip of nori and sprinkle with sesame seeds. Repeat with remaining portions of rice.']",744 kcal,4 servings
Japanese-Style Cabbage Salad,https://www.allrecipes.com/recipe/150135/japanese-style-cabbage-salad/,25,"This Japanese-style cabbage salad is a healthy slaw with green onion and almonds tossed in a sweet dressing of sesame oil, rice vinegar, and ginger.","['0.5 large head cabbage, cored and shredded', '1 bunch green onions (thinly sliced)', '1 cup almond slivers', '0.25 cup toasted sesame seeds', '3 tablespoons sesame oil', '3 tablespoons rice vinegar', '1 tablespoon white sugar', '1 clove garlic, minced', '1 teaspoon grated fresh ginger root', '1 teaspoon salt', '1 teaspoon black pepper']","['Combine cabbage, green onions, almond, and sesame seeds in a large bowl.', 'Make dressing: Whisk together sesame oil, vinegar, sugar, garlic, ginger, salt, and pepper in a small bowl until sugar is dissolved.', 'Pour dressing over cabbage mixture and toss until well combined.']",126 kcal,12 servings
Coffee Jelly,https://www.allrecipes.com/recipe/214724/coffee-jelly/,370,"Coffee jelly is a favorite Japanese dessert that's easy to make at home with brewed coffee, gelatin, and sugar for a refreshing after-dinner treat.","['2 tablespoons hot water', '.25 ounce package unflavored gelatin', '2 cups fresh brewed coffee', '3 tablespoons white sugar']","['Stir together gelatin and hot water in a small bowl until gelatin dissolves; pour into a saucepan. Stir in coffee and sugar, and bring to a boil over high heat.', 'Pour coffee mixture into a shallow, 9-inch square or 7x11-inch baking dish. Chill in the refrigerator until solidified, 6 to 7 hours.', 'Cut coffee jelly into cubes to serve.']",43 kcal,4 servings
Cream Cheese and Crab Sushi Rolls,https://www.allrecipes.com/recipe/169856/cream-cheese-and-crab-sushi-rolls/,40,"This crab sushi roll with imitation crabmeat recipe is delicious and surprisingly simple to make. Roll up sushi with crab, cream cheese, and cucumber.","['1 cup uncooked white rice', '2 cups water', '2 tablespoons rice vinegar', '1 teaspoon salt', '2 sheets nori seaweed sheets', '0.25 cucumber (peeled and sliced) lengthwise', '2 pieces imitation crab legs', '0.5 (3 ounce package cream cheese (sliced)', '1 teaspoon minced fresh ginger root']","['Gather all ingredients.', 'Bring rice and water to a boil in a saucepan over high heat. Reduce heat to medium-low, cover, and simmer until the rice is tender, and the liquid has been absorbed, 20 to 25 minutes. Stir in rice vinegar and salt. Allow to cool completely.', ""Lay out seaweed sheets. Moisten hands with water, then spread cooled rice evenly on each sheet, leaving a 1/2-inch gap along one edge, lengthwise. Arrange strips of cucumber, imitation crabmeat, and cream cheese on top of the rice in a straight line along the side opposite the gap. Roll up sushi from the toppings to the seaweed sheet's exposed end."", 'Using a sharp wet knife, slice each roll into 5 or 6 pieces. Serve with minced ginger on the side.']",444 kcal,2 servings
Microwave Mochi,https://www.allrecipes.com/recipe/43486/microwave-mochi/,15,A microwave mochi recipe for a favorite Japanese dessert made with sweet rice flour. This can be customized with interesting flavors as well.,"['1.5 cups mochiko (glutinous rice flour)', '1.5 cups water', '1.25 cups white sugar (divided)', '2 drops distilled white vinegar', '0.5 cup potato starch', '0.25 teaspoon salt']","['Mix together mochiko, water, and 1 cup sugar in a medium bowl until well blended. Mix in vinegar to soften. Pour into a microwave-safe dish and loosely cover with plastic wrap. Microwave on high for 8 to 10 minutes. Remove and let cool until cool enough to handle.', 'Combine potato starch, remaining 1/4 cup sugar, and salt in a small bowl. Turn mochi out onto the plastic wrap and cut into 25 pieces using a plastic or wooden knife (metal knives tend to stick too much). Roll pieces in the potato starch mixture.']",83 kcal,25 servings
Air Fryer Tonkatsu,https://www.allrecipes.com/recipe/278809/air-fryer-tonkatsu/,30,This air fryer tonkatsu recipe for Japanese pork cutlet served with homemade tonkatsu sauce is crispy on the outside and tender and juicy inside.,"['0.5 cup ketchup', '2 tablespoons soy sauce', '1 tablespoon brown sugar', '1 tablespoon sherry', '2 teaspoons Worcestershire sauce', '1 teaspoon minced garlic', '1 pound boneless pork breakfast chops (4 chops)', 'salt and ground black pepper to taste', '2 large eggs', '1.5 cups panko bread crumbs', 'nonstick cooking spray']","['Make sauce: Whisk together ketchup, soy sauce, brown sugar, sherry, Worcestershire sauce, and garlic in a medium bowl until sugar is dissolved. Set sauce aside.', 'Preheat an air fryer to 350 degrees F (175 degrees C).', 'Prepare pork chops: Lay pork chops on a clean work surface; season with salt and pepper.', 'Beat eggs in a flat dish. Place bread crumbs in a separate flat dish.', 'Dip a pork chop in beaten eggs, then dredge in bread crumbs. Dip again in eggs, then press in bread crumbs to thoroughly coat. Repeat with remaining pork chops.', 'Place pork chops in the basket of the preheated air fryer and spray the tops with nonstick cooking spray. Air-fry for 10 minutes. Flip chops over using a spatula and spray the tops with nonstick cooking spray again. Air-fry for 10 more minutes. An instant-read thermometer inserted into the center of pork chops should read 145 degrees F (63 degrees C).', 'Transfer pork chops to a cutting board and slice. Serve with sauce.']",319 kcal,4 servings
Yum Yum Sauce,https://www.allrecipes.com/recipe/205616/yum-yum-sauce/,485,"This yum yum sauce is a tasty, mayonnaise-based sauce similar to the ones you find at Japanese steakhouses. Perfect for dipping or drizzling.","['1.25 cups mayonnaise', '0.25 cup water', '1 tablespoon melted butter', '1 teaspoon tomato paste', '1 teaspoon white sugar', '0.5 teaspoon garlic powder', '0.25 teaspoon paprika', '1 pinch cayenne pepper']","['Whisk mayonnaise, water, butter, tomato paste, sugar, garlic powder, paprika, and cayenne together until smooth. Cover and refrigerate, 8 hours to overnight.']",175 kcal,12 servings
Crispy Shrimp Tempura,https://www.allrecipes.com/recipe/129467/crispy-shrimp-tempura/,35,"Learn how to make crispy, Japanese-style tempura shrimp with an easy homemade batter. Serve them as a main dish, appetizer, or party finger food.","['2 cups vegetable oil for frying', '1 cup all-purpose flour', '2 tablespoons cornstarch', '1 pinch salt', '1 cup water', '1 large egg yolk', '2 large egg whites, lightly beaten', '1 pound medium shrimp with tails left on (peeled and deveined)']","['Gather all ingredients.', 'Heat oil in a deep-fryer to 375 degrees F (190 degrees C).', 'Whisk flour, cornstarch, and salt together in a large bowl; make a well in the center.', 'Pour water and egg yolk into the well and mix just until moistened; batter will be lumpy. Stir in egg whites.', 'Dip one shrimp at a time into batter to coat; do not batter tails.', 'When three shrimp have been battered, carefully place them into the deep fryer and fry until golden brown, about 1.5 minutes.', 'Remove with a slotted spoon and drain on a paper towel-lined plate. Repeat with remaining shrimp, battering a few at a time while the previous batch is cooking.']",1222 kcal,4 servings
Cucumber and Avocado Sushi,https://www.allrecipes.com/recipe/99204/cucumber-and-avocado-sushi/,65,"Avocado sushi rolls are easy to make at home with nori seaweed, sticky rice, cucumber, and avocado. Add wasabi and pickled ginger for a kick!","['1.25 cups water', '1 cup uncooked glutinous white rice (sushi rice)', '3 tablespoons rice vinegar', '1 pinch salt', '4 sheets nori (dry seaweed)', '0.5 medium cucumber (sliced) into thin strips', '1 medium avocado - peeled, pitted and sliced']","['Combine water and rice in a saucepan and bring to a boil. Cover, reduce the heat to low, and simmer until rice is tender and water has been absorbed, about 20 minutes. Remove from the heat, stir in vinegar and salt, and set aside to cool for at least 5 minutes.', 'Cover a bamboo sushi mat with plastic wrap to keep rice from sticking. Place one nori sheet over the plastic. Spread rice evenly onto nori sheet, leaving about a 1/2 inch uncovered at the bottom. Arrange cucumber and avocado across the center of the rice. Lift the mat, roll over cucumber and avocado once, and press down. Unroll, then roll again towards the uncovered end of the nori to make a long roll. Seal roll with a little water if necessary. Repeat to make remaining rolls.', 'Use a sharp, wet knife to slice each roll into 6 pieces.']",171 kcal,6 servings
Japanese-Style Ginger Salad Dressing,https://www.allrecipes.com/recipe/24381/japanese-ginger-salad-dressing/,5,"This ginger salad dressing comes together in minutes for the perfect combination of sweet, salty, and umami flavors. Try it over any green salad!","['0.25 cup soy sauce', '1 lemon, juiced', '3 cloves garlic, minced', '3 tablespoons minced fresh ginger root', '2 teaspoons honey', '1 teaspoon prepared Dijon-style mustard', 'ground black pepper to taste', '1 cup olive oil']","['Whisk soy sauce, lemon juice, garlic, ginger, honey, mustard, and pepper together in a small bowl until thoroughly combined. Add oil in a steady stream, whisking constantly until incorporated into the dressing. Pour into a glass jar and chill until serving.']",170 kcal,12 servings
Japanese Ginger Pork,https://www.allrecipes.com/recipe/87392/japanese-ginger-pork/,80,"This recipe uses thinly sliced pork loin marinated in soy sauce, sake, mirin, and ginger for a quick and flavorful sauté the whole family will love.","['2 tablespoons soy sauce', '2 tablespoons sake', '2 tablespoons mirin', '1 tablespoon grated fresh ginger root', '1 pound thinly sliced pork loin', '3 tablespoons vegetable oil']","['Mix together soy sauce, sake, mirin, and ginger in a large bowl until combined. Add sliced pork; stir to coat. Cover the bowl and marinate for about 1 hour.', 'Heat oil in a large skillet or wok over high heat. Sauté pork in hot oil until browned and cooked through; discard marinade. An instant-read thermometer inserted into pork should read at least 145 degrees F (63 degrees C).']",289 kcal,4 servings
Chi Chi Dango,https://www.allrecipes.com/recipe/31400/chi-chi-dango-mochi/,105,"Chi chi dango, a mochiko dessert confection, is a soft, chewy, sticky Japanese treat made with glutinous rice flour, coconut milk, and sugar.","['cooking spray', '1 pound mochiko (glutinous rice flour)', '2.5 cups white sugar', '1 teaspoon baking powder', '2 cups water', '14 ounce can coconut milk', '1 teaspoon vanilla extract', '0.25 teaspoon red food color', '0.25 cup potato starch (or as needed)']","['Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch pan with cooking spray.', 'Whisk mochiko, sugar, and baking powder together in a bowl.', 'Combine water, coconut milk, vanilla, and food coloring in a medium bowl. Blend in dry ingredients, then pour into the prepared pan. Cover with foil.', 'Bake in the preheated oven for 1 hour. Remove from the oven and let cool completely, 30 minutes to 1 hour.', 'Dust a work surface with potato starch. Invert the pan onto the work surface. Use a plastic knife to cut into 36 squares.']",125 kcal,36 servings
Sweet Potato Tempura,https://www.allrecipes.com/recipe/245693/sweet-potato-tempura/,35,Sweet potato tempura is a delicious vegetarian appetizer. It's so easy to make at home with simple pantry ingredients and a deep fryer or large saucepan.,"['2 large eggs', '0.75 cup ice water', '3 tablespoons ice water', '0.75 cup all-purpose flour', '1 tablespoon all-purpose flour', '0.5 teaspoon salt', '2 cups oil for frying', '1 large sweet potato, scrubbed and sliced into 1/8-inch slices', '0.25 cup rice wine', '0.25 cup soy sauce']","['Make the tempura: Beat eggs in a large bowl until frothy. Stir in 3/4 cup plus 3 tablespoons ice water, 3/4 cup plus 1 tablespoon flour, and salt until just incorporated; batter should still be very lumpy.', 'Heat oil in a deep-fryer or large saucepan to 350 degrees F (175 degrees C). Set a wire rack over several layers of paper towels.', 'Dry sweet potato slices with paper towels. Dip three slices into batter, letting excess batter drip back into the bowl. Fry in the preheated oil until golden brown, about 2 minutes per side. Use a slotted spoon to transfer sweet potatoes to the wire rack. Repeat to dip and fry remaining sweet potatoes.', 'Make the dipping sauce: Whisk rice wine and soy sauce together in a small bowl. Serve with tempura.']",315 kcal,4 servings
Authentic Miso Soup,https://www.allrecipes.com/recipe/231545/authentic-miso-soup/,30,"This Japanese miso soup recipe features the traditional ingredients of kombu, bonito flakes, and miso paste. It's simple to make and comforting to eat!","['4 cups water', '4 inch piece dashi kombu (dried kelp)', '0.5 cup bonito flakes', '0.5 (12 ounce package tofu, cut into chunks', '1 teaspoon dried wakame', '3 tablespoons miso paste', '0.25 cup chopped green onions']","['Heat water in a large pot over low heat. Add kombu and cook until just simmering. Stir in bonito flakes, then remove dashi stock from the heat. Let dashi sit, uncovered, for 5 minutes. Strain and set aside.', 'Heat 3 1/2 cups dashi in a pot over medium heat. Add tofu and wakame and stir to combine. Remove 1 cup warmed dashi to a small bowl and whisk in miso paste. Pour miso mixture back into the pot with remaining dashi. Stir until warmed through. Serve garnished with chopped green onions.']",65 kcal,4 servings
Spicy Tuna Rolls,https://www.allrecipes.com/recipe/279434/spicy-tuna-rolls/,30,"Even if you're new to sushi making, this recipe for fresh and spicy tuna rolls is easy to make at home.","['4 sheets nori (dry seaweed)', '0.5 pound sashimi-grade tuna (finely chopped)', '4 tablespoons mayonnaise', '2 green onions (chopped)', '1 tablespoon hot chile sauce', '2.5 cups prepared sushi rice', '1 tablespoon sesame seeds']","['Cut off the bottom quarter of each nori sheet; reserve for another use.', 'Combine chopped tuna, mayonnaise, green onions, and hot sauce in a bowl.', 'Center 1 sheet of nori on a bamboo sushi mat. Wet your hands. Spread a thin layer of rice on the nori using your hands; press into a thin layer, leaving a 1/2-inch space at the bottom edge. Sprinkle with sesame seeds. Arrange 1/4 of the tuna mixture in a line across the rice, about 1/3 of the way down from the top of the sheet.', 'Wet the uncovered edge of the nori. Lift the top end of the mat and firmly roll it over the ingredients. Roll it forward to make a complete roll. Repeat with remaining ingredients.', 'Slice the rolls into 3/4-inch pieces using a wet knife. Serve immediately or refrigerate until serving.']",344 kcal,4 servings
